keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
ACHIEVEMENT_TITLE_1,Hello World!,Hello World!,Hello World!,Hello World!,"Olá, Mundo!",¡Hola Mundo!,,Hallo Welt!,Hello World!,Witaj Świecie!,,Salut Lume!,Merhaba Dünya!,¡Hola mundo!
ACHIEVEMENT_DESC_1,Identified your first virus,初めてウイルスを検出する,识别你的第一个病毒,識別你的第一個病毒,Identificou seu primeiro vírus,Identifica tu primer virus,,Dein erster identifizierter Virus,Индентифицировать свой первый вирус,Zidentyfikowano pierwszego wirusa,,Ai identificat primul tău virus,İlk virüsünü tespit ettin!,Identifica tu primer virus
ACHIEVEMENT_TITLE_2,Is that a virus?,もしかして：ウイルス,什么病什么毒？,什麼病什麼毒？,Isso é um vírus?,¿Es eso un virus?,,Ist das ein Virus?,Это вирус?,Czy to wirus?,,Ăla e un virus?,Bu bir virüs mü?,¿Eso es un virus?
ACHIEVEMENT_DESC_2,Identified {x} spore viruses,ウイルス「スポア」を{x}体検出する,识别{x}次孢子病毒,識別{x}次孢子病毒,Identificou {x} vírus Esporo,Identifica {x} 'Virus1_Espora',,Sporen Viren {x} identifiziert,Идентифицировать {x} вирусов-спор,Zidentyfikowano {x} wirusów zarodnikowych,,Ai identificat {x} viruși Spore,{x} Spor virüsünü tespit ettin.,Identifica {x} Virus espora
ACHIEVEMENT_TITLE_3,"Creepy, spooky skeletons",命タスカル,亡语触发,亡語觸發,Esqueletos sinistros demais,"Creepy, spooky skeletons",,"Creepy, spooky skeletons","Creepy, spooky skeletons",Strasznie straszne szkielety,,Scheleți ciudați și înfricoșători,Spooky Scary Skeletons,"Creepy, spooky skeletons"
ACHIEVEMENT_DESC_3,Identified {x} Skull viruses,ウイルス「スカル」を{x}体検出する,识别{x}次骷髅头病毒,識別{x}次骷髏頭病毒,Identificou {x} vírus Caveira,Identifica {x} 'Virus2_Calavera',,{x} Schädel Viren dentifiziert,Идентифицировать {x} вирусов-черепов,Zidentyfikowano {x} czacho wirusów,,Ai identificat {x} viruși Skull,{x} Kuru Kafa virüsünü tespit ettin.,Identifica {x} Virus calavera
ACHIEVEMENT_TITLE_4,Get Horsed!,トロイの木馬,上马！,上馬！,Toma esse coice!,¡Domado!,,"Hüü Pferchen, Hüü!!",По коням!,Konia idzie dostać!,,Ia calul de coamă!,Atın içine bakmalıydın.,¡Domado!
ACHIEVEMENT_DESC_4,Identified {x} Trojan viruses,ウイルス「トロイ」を{x}体検出する,识别{x}次木马病毒,識別{x}次木馬病毒,Identificou {x} vírus Trojan,Identifica {x} 'Virus3_Troyano',,{x} Trojaner identifiziert,Идентифицировать {x} Троянов,Zidentyfikowano {x} trojanów,,Ai identificat {x} viruși Trojan,{x} Truva virüsünü tespit ettin.,Identifica {x} Virus troyano
ACHIEVEMENT_TITLE_5,LASERS!!,レーザー発射！,你就是歌姬吧！,你就是歌姬吧！,LASERS!!,¡Láseres!,,LASER!!,ЛАЗЕРЫ!!,LASERY!!,,LASERE!!,LAZERLER!!!,¡Láseres!
ACHIEVEMENT_DESC_5,Identified {x} Diva viruses,ウイルス「ディーヴァ」を{x}体検出する,识别{x}次歌姬病毒,識別{x}次歌姬病毒,Identificou {x} vírus Diva,Identifica {x} 'Virus4_Diva',,{x} Diva Viren identifiziert,Идентифицировать {x} Дивы,Zidentyfikowano {x} diva wirusów,,Ai identificat {x} viruși Diva,{x} Diva virüsünü tespit ettin.,Identifica {x} Virus diva
ACHIEVEMENT_TITLE_6,Decompressed,解凍完了,无视风险继续解压,無視風險繼續解壓,Descomprimido,¡Descomprimido!,,Entpackt,Разархивирован,Zdekompresowany,,Decomprimat,Sıkıştırma açıldı.,¡Descomprimido!
ACHIEVEMENT_DESC_6,Identified a Zipbomb,ZIP爆弾を検出する,识别{x}次压缩包炸弹,識別{x}次壓縮包炸彈,Identificou um Zipbomb,Identifica un 'Virus5_BombaZip',,Zipbombe identifiziert,Идентифицировать Zip-бомбу,Zidentyfikowano zip bombe,,Ai identificat un Zipbomb,Bir Zipbomb tespit ettin.,Identifica un Virus bombaZip
